               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.027691,           0.0074586,                   0,                   1,             0.87797,             0.92665,             0.63853,            0.030932,           0.0045197,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.027846,           0.0073324,                   0,             0.98556,                0.92,             0.94131,             0.63521,            0.029869,            0.004239,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.028945,           0.0072238,                   0,             0.99547,                0.92,             0.93826,             0.60779,            0.032059,           0.0043843,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.027943,           0.0075751,                   0,             0.99436,                0.92,             0.95567,             0.53505,            0.032341,           0.0042697,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.028515,           0.0073205,                   0,             0.98078,                0.92,             0.95249,             0.61019,            0.030874,           0.0042455,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.027337,           0.0077451,                   0,             0.96947,                0.92,             0.96048,             0.61585,            0.029999,            0.004088,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.026552,           0.0071976,                   0,             0.98845,                0.92,             0.98036,             0.58317,            0.031111,           0.0040168,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.026392,           0.0074654,                   0,             0.98898,                0.92,             0.98054,             0.56317,            0.030372,           0.0039577,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.026841,           0.0069165,                   0,             0.95578,                0.96,             0.98751,             0.59528,            0.031687,           0.0040121,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.027453,           0.0071109,                   0,              0.9599,             0.95766,             0.97619,              0.5957,            0.030894,           0.0042801,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.025086,           0.0071022,                   0,             0.99679,                0.92,             0.98086,             0.63422,            0.028943,           0.0041069,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.024907,           0.0067302,                   0,             0.95789,             0.91025,             0.98222,             0.56166,            0.032609,           0.0040436,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.025226,           0.0072158,                   0,             0.96923,                0.92,             0.98054,             0.63321,            0.031144,           0.0039774,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.025817,           0.0062637,                   0,              0.9878,                0.92,             0.98281,             0.57609,            0.031828,           0.0039493,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.025735,           0.0068457,                   0,             0.98688,                0.92,             0.97083,             0.63529,            0.028538,           0.0041192,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.024339,           0.0065605,                   0,                   1,             0.90423,             0.97913,              0.5467,             0.03225,           0.0041631,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.025181,           0.0062924,                   0,             0.98254,                0.92,             0.98262,             0.65629,            0.028442,           0.0039271,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.022898,            0.006288,                   0,             0.98787,                0.92,             0.98389,             0.65045,            0.027789,           0.0038573,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.023328,           0.0060899,                   0,              0.9891,                0.92,             0.98317,              0.6273,             0.03025,           0.0038389,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.023534,           0.0064046,                   0,             0.98925,                0.92,             0.98641,             0.60073,            0.031518,           0.0038054,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.022682,           0.0059626,                   0,             0.99082,                0.92,             0.98418,             0.65154,            0.029636,           0.0037582,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.022394,           0.0061187,                   0,                   1,              0.9184,             0.97687,             0.63275,            0.028235,           0.0038365,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.022718,           0.0061939,                   0,                   1,             0.91263,             0.98526,             0.64994,            0.029435,           0.0037947,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.021344,           0.0064566,                   0,             0.99706,                0.92,             0.98526,             0.63817,            0.028308,           0.0037287,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.021258,           0.0065464,                   0,             0.98312,                0.92,             0.97756,              0.6605,            0.027656,           0.0038033,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.022937,            0.005923,                   0,             0.98869,                0.92,             0.97756,              0.6279,            0.029246,           0.0039053,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.021425,           0.0059498,                   0,             0.99012,                0.92,             0.98418,             0.65842,            0.028236,           0.0037826,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.021515,           0.0062003,                   0,             0.98739,                0.92,             0.98418,             0.61407,            0.027619,           0.0037812,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.020479,           0.0061381,                   0,             0.98701,                0.92,              0.9837,             0.63278,            0.029506,           0.0038644,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.020281,           0.0061163,                   0,             0.95028,                0.96,             0.98465,              0.6333,            0.028254,           0.0038756,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.019899,           0.0064279,                   0,             0.95665,                0.96,             0.97972,             0.65553,            0.028363,           0.0039202,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.021414,           0.0063989,                   0,             0.95982,             0.95557,             0.95646,             0.63843,            0.030457,           0.0041802,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.021289,           0.0060277,                   0,             0.95839,                0.96,              0.9633,             0.59523,            0.031288,           0.0041484,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.019992,           0.0060352,                   0,             0.95334,                0.96,             0.98305,             0.59398,            0.031207,           0.0039916,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.020165,           0.0051356,                   0,                   1,             0.94634,             0.98726,             0.63859,            0.028019,           0.0039037,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.020548,           0.0060274,                   0,              0.9918,                0.92,             0.98788,              0.5929,            0.029594,           0.0040396,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.019977,           0.0056196,                   0,             0.99573,                0.92,             0.98643,             0.64665,            0.029912,           0.0038502,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.02064,           0.0061185,                   0,             0.95266,                0.96,             0.98566,             0.64588,            0.028215,           0.0040102,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.020838,           0.0059727,                   0,              0.9977,                0.96,             0.97583,              0.6264,            0.027849,           0.0040445,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.018169,           0.0055432,                   0,             0.99607,                0.96,             0.98203,             0.62858,            0.029346,           0.0040507,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.018789,           0.0054381,                   0,             0.99668,                0.92,             0.98788,             0.65895,            0.027693,           0.0037278,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.01938,           0.0060923,                   0,             0.99703,                0.92,             0.98764,             0.62211,            0.029047,           0.0037191,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.019048,           0.0056286,                   0,                   1,             0.95392,             0.99071,             0.65403,            0.028277,           0.0036719,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.019057,           0.0057009,                   0,                   1,             0.95714,             0.99204,             0.63455,            0.028243,           0.0036968,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.017339,           0.0053155,                   0,                   1,             0.95409,             0.98948,             0.66069,            0.027819,           0.0037515,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.017654,           0.0051156,                   0,              0.9987,                0.92,              0.9797,             0.64249,            0.027467,           0.0039346,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.017703,           0.0048216,                   0,                   1,             0.91661,             0.98317,             0.64028,            0.027369,           0.0040109,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.016997,           0.0052115,                   0,                   1,             0.91398,             0.98049,             0.64814,            0.027436,           0.0039157,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.017342,           0.0055932,                   0,                   1,             0.91644,             0.98526,             0.64601,            0.027593,           0.0039458,                   0,            0.001486,            0.001486,            0.001486
